"dossierId","oldHouseNumberNumberCorr","oldHousenumberIsPartOfCorr","oldHousenumberNeighbouringNumberCorr","oldHousenumberSupplementAddition"
"HGB_1_091_113","['56', '57']",,,
"HGB_1_091_082","['9 A', '9 B']",,,
"HGB_1_091_034","['59', '98']",,,"Zusätzlich Teil von"
"HGB_1_091_036","['58']",TRUE,,
"HGB_1_091_050","['43', '41']",,,"Zusätzlich Teil von"
"HGB_1_091_056","['30', '38']",,,
"HGB_1_091_075","['22 A', '11']",,,
"HGB_1_091_157","['12', '13']",,,"13 fehlt im Adressbuch 1862"
"HGB_1_091_134","['33', '32']",,,
"HGB_1_092_013","['754 P', '754 Q']",,,
"HGB_1_095_025","['243', '244']",,,
"HGB_1_097_009","['32', '33']",,,
"HGB_1_098_032","['308', '310', '308 A']",,,
"HGB_1_199_021","['2069', '205']",,,"Zusätzlich Teil von"
"HGB_1_201_015","['274', '274 A']",,,
"HGB_1_201_016","['275', '275 A']",,,
"HGB_1_201_020","['59', '59 C']",,,
"HGB_1_201_022","['53']",TRUE,,
"HGB_1_201_026","['30']",TRUE,,
"HGB_1_203_029","['1578']",TRUE,,"Laden"
"HGB_1_203_030","['1578']",TRUE,,"Laden"
"HGB_1_204_011","['1583', '1583 A']",,,
"HGB_1_204_016",,,"1555",
"HGB_1_204_017",,,"1557",
"HGB_1_204_021","['173', '169']",,,"Zusätzlich Teil von"
"HGB_1_208_017","['788']",TRUE,,
"HGB_1_208_019","['791']",TRUE,,
"HGB_1_175_004","['185']",TRUE,,"Bann"
"HGB_1_175_007","['186', '187']",,,
"HGB_1_178_015","['362', '361', '359', '367']",,,
"HGB_1_178_017","['362', '361', '359']",,,"Zusätzlich Teil von"
"HGB_1_183_021","['611', '410']",,,
"HGB_1_183_022","['611', '612', '410']",,,
"HGB_1_184_056","['590', '540']",,,
"HGB_1_184_050",,,"583",
"HGB_1_184_054","['589', '590', '540', '590 A', '531', '539']",,,
"HGB_1_184_044","['579', '580', '581', '585']",,,
"HGB_1_184_047","['581', '585']",,,
"HGB_1_184_017","['1564', '1565']",,,"Zusätzlich Teil von"
"HGB_1_184_026","['1752', '1753']",,,
"HGB_1_224_009","['412', '610']",,,
"HGB_1_225_066","['436', '439']",,,
"HGB_1_225_023","['415', '420']",,,"Zusätzlich Teil von"
"HGB_1_225_056","['36']",TRUE,,
"HGB_1_225_059","['429', '430']",,,
"HGB_1_226_012","['888', '890']",,,
"HGB_1_227_043","['285', '281', '282']",,,
"HGB_1_227_044","['281', '282']",,,
"HGB_1_227_059","['344', '345', '346', '347']",,,
"HGB_1_227_079","['278', '251']",,,
"HGB_1_229_013","['1115', '1116']",,,
"HGB_1_229_020","['1108', '1109', '1107']",FALSE,,"Zusätzlich Teil von (zu prüfen)"
"HGB_1_229_023","['1108', '1107']",,,"Zusätzlich Teil von"
"HGB_1_103_039","['745', '745 A']",,,
"HGB_1_103_051","['740 A']",TRUE,,"Adressverzeichnis 1798"
"HGB_1_103_059",,,"745 A",
"HGB_1_103_021","['755']",TRUE,,
"HGB_1_104_008","['768']",TRUE,,
"HGB_1_104_009","['770']",TRUE,,
"HGB_1_104_010","['771 A']",TRUE,,
"HGB_1_104_013","['778']",TRUE,,
"HGB_1_104_029","['752', '754']",,,
"HGB_1_104_040","['754 G', '754 H']",,,
"HGB_1_113_068","['381', '382', '383']",,,
"HGB_1_116_030","['386', '386 A']",,,
"HGB_1_116_036","['387', '387 A']",,,
"HGB_1_117_016","['103', '103 A']",,,
"HGB_1_118_010","['711', '704']",,,"Zusätzlich Teil von"
"HGB_1_120_023","['1251', '1252']",,,
"HGB_1_120_024","['1252', '1250', '1251']",,,
"HGB_1_120_030","['1251', '1250']",,,
"HGB_1_120_032","['1250', '1249']",TRUE,,
"HGB_1_120_057","['1248', '1247']",,,
"HGB_1_194_100","['478', '502']",,,
"HGB_1_197_051","['318 A', '319 B']",,,
"HGB_1_197_039","['325', '326']",FALSE,,"Zusätzlich Teil von (zu prüfen)"
"HGB_1_133_010","['1419']",TRUE,,"Bank"
"HGB_1_135_028","['1468', '1467', '1465']",,,"Zusätzlich Teil von"
"HGB_1_136_013","['1679', '1680']",,,
"HGB_1_137_058","['552', '551']",,,
"HGB_1_137_059","['552', '551']",,,
"HGB_1_137_072","['520', '516']",,,
"HGB_1_137_066","['523', '522']",,,"Zusätzlich Teil von"
"HGB_1_137_036","['519', '519 A']",,,
"HGB_1_001_012","['219', '220']",,,
"HGB_1_002_064","['1012', '1013']",,,
"HGB_1_002_118","['987', '988', '986']",,,
"HGB_1_002_075","['1009', '1008']",FALSE,,"Zusätzlich Teil von (zu prüfen)"
"HGB_1_005_014","['1045 A', '1045 B']",,,
"HGB_1_138_018","['235', '236']",,,
"HGB_1_010_123","['1227', '1228']",FALSE,,"Zusätzlich Teil von (zu prüfen)"
"HGB_1_010_148","['1269', '1269 A']",,,
"HGB_1_014_013","['1484', '1483']",,,"Zusätzlich Teil von"
"HGB_1_014_043","['1473', '1488']",,,
"HGB_1_214_070","['852', '852 A']",,,
"HGB_1_214_079","['855', '857']",,,
"HGB_1_214_013","['848', '846']",,,
"HGB_1_215_075","['783', '782']",,,
"HGB_1_215_076","['783', '784']",,,
"HGB_1_215_078","['784', '783']",,,
"HGB_1_215_079","['784', '785']",,,
"HGB_1_216_018","['971', '971 A']",,,
"HGB_1_216_017","['972', '972 A']",,,
"HGB_1_217_022","['560', '565']",,,
"HGB_1_218_029","['1106', '1107']",,,"Zusätzlich Teil von"
"HGB_1_219_008","['248', '249']",,,
"HGB_1_047_002","['19']",TRUE,,
"HGB_1_047_001","['19']",TRUE,,
"HGB_1_050_050","['1541']",TRUE,,"Laden"
"HGB_1_050_058","['1546']",TRUE,,"Bank"
"HGB_1_050_059","['1547', '1548']",,,
"HGB_1_051_017","['938', '923']",,,
"HGB_1_051_024","['919', '920']",,,
"HGB_1_051_025","['919', '918 A']",,,
"HGB_1_056_018","['152']",TRUE,,"Brotbank"
"HGB_1_056_019","['152']",TRUE,,"Brotbank"
"HGB_1_056_020","['152']",TRUE,,"Brotbank"
"HGB_1_056_021","['152']",TRUE,,"Brotbank"
"HGB_1_056_022","['152', '151']",TRUE,,"Salzkästen"
"HGB_1_056_025","['138']",TRUE,,"Bank"
"HGB_1_168_067","['123', '149']",,,"Zusätzlich Teil von"
"HGB_1_168_022","['117', '109']",,,
"HGB_1_168_032","['122', '121']",,,"Zusätzlich Teil von"
"HGB_1_168_040","['141']",TRUE,"142",
"HGB_1_170_049","['1377', '1378']",,,
"HGB_1_170_037","['1356', '1360']",,,
"HGB_1_058_051","['1435', '1436']",,,
"HGB_1_058_179","['1086', '1087', '1088', '1085']",,,
"HGB_1_063_079","['1661', '1662']",,,
"HGB_1_063_111","['664']",,,
"HGB_1_064_032","['677', '399 B']",,,
"HGB_1_028_056","['113', '115']",,,"Zusätzlich Teil von"
"HGB_1_035_010","['1020', '1014']",,,"Zusätzlich Teil von"
"HGB_1_035_011","['1014']",TRUE,,
"HGB_1_066_046","['387']",TRUE,,"sehr unsicher!"
"HGB_1_070_001","['239']",FALSE,,"Bann"
"HGB_1_074_075","['257', '258']",,,
"HGB_1_074_010","['250']",TRUE,,
"HGB_1_074_013","['250 B', '250 C']",,,
"HGB_1_074_026","['259 A', '259 Aa', '259 Ab']",,,
"HGB_1_074_027","['259', '259 A', '259 B']",,,
"HGB_1_074_028","['259 Aa', '259 B']",,,
"HGB_1_074_082","['260', '260 A']",,,
"HGB_1_074_038","['267 B', '268']",TRUE,,"Teil von zwei Parzellen"
"HGB_1_074_039","['267 B', '268']",TRUE,,"Teil von zwei Parzellen"
"HGB_1_074_044","['275 C', '275 D']",,,
"HGB_1_078_046","['441 A', '440']",,,"Zusätzlich Teil von"
"HGB_1_078_026","['428', '400']",,,
"HGB_1_079_031","['402', '401']",,,"Zusätzlich Teil von"
"HGB_1_079_012","['408', '409']",,,
"HGB_1_080_005","['212 A', '212 B']",,,
"HGB_1_082_010","['985', '972']",,,
"HGB_1_189_019","['340', '341']",,,
"HGB_1_189_051","['326']",TRUE,,
"HGB_1_189_058","['329', '330']",,,
"HGB_1_189_064","['331', '330']",,,"Zusätzlich Teil von"
"HGB_1_190_008","['140', '141']",,,"Zusätzlich Teil von"
"HGB_1_146_029","['181']",TRUE,,"Salzkasten"
"HGB_1_146_040","['196', '197', '198', '202']",,,
"HGB_1_146_043","['197', '198']",TRUE,,"Stall"
"HGB_1_146_061",,TRUE,,
"HGB_1_147_027","['101', '101 A', '101 B']",,,
"HGB_1_147_061","['231', '231 A']",,,
"HGB_1_147_059","['231', '233']",,,
"HGB_1_147_060","['231', '233']",,,
"HGB_1_148_025","['256', '251']",FALSE,,
"HGB_1_148_035","['276', '277']",,,"Zusätzlich Teil von"
"HGB_1_150_035","['253', '253 A']",,,
"HGB_1_151_009","['1130', '1131']",,,
"HGB_1_154_027","['173', '174']",,,
"HGB_1_154_028","['173', '174']",,,
"HGB_1_154_029","['173', '174']",,,
"HGB_1_154_030","['173', '172']",,,
"HGB_1_154_031","['172', '171']",,,
"HGB_1_154_032","['172', '171']",,,
"HGB_1_154_054","['151', '150']",,,"Zusätzlich Teil von"
"HGB_1_154_058","['215', '216']",,,
"HGB_1_155_021","['249', '249 A', '249 B']",,,
"HGB_1_155_029","['273', '273 A']",,,
"HGB_1_155_030","['206', '204']",,,
"HGB_1_155_033","['253', '252']",FALSE,,"Zusätzlich Teil von (zu prüfen)"
"HGB_1_155_036","['252', '253']",,,
"HGB_1_157_016",,TRUE,,
"HGB_1_157_017",,TRUE,,
"HGB_1_157_018",,TRUE,,
"HGB_1_159_083","['96', '97']",,,
"HGB_1_159_069","['75', '432']",,,
"HGB_1_159_144","['89', '89 A']",,,
"HGB_1_159_051","['46', '49']",,,"Zusätzlich Teil von"
"HGB_1_159_054","['46', '47']",,,
"HGB_1_160_026","['321', '322']",,,
"HGB_1_161_021","['1487', '1486']",,,"Zusätzlich Teil von"
"HGB_1_023_023","['1097', '1097 A', '1097 B']",,,
"HGB_1_027_003","['4']",TRUE,,
"HGB_1_027_005","['4']",TRUE,,
"HGB_1_085_010","['1667']",TRUE,,"Laden"
"HGB_1_085_021","['1675', '1676']",,,
"HGB_1_088_001","['280', '281']",,,
"HGB_1_134_007","['1405', '1406']",FALSE,,
"HGB_1_134_009","['1407', '1411']",,,
